"Comment","Designator","Footprint","LCSC Part #"
"1uF 25V","C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C12","C_0402_1005Metric","C52923"
"100nF","C11","C_0402_1005Metric","C1525"
"22pF","C13,C14","C_0402_1005Metric","C1555"
"10ÂµF","C15,C16,C17","C_0603_1608Metric","C19702"
"IR link","D1","LED_0603_1608Metric","C72043"
"BAV99","D2","SOT-23","C2500"
"2N7002","Q1","SOT-23","C8545"
"10k","R1,R2,R3,R7,R9","R_0402_1005Metric","C25744"
"10R","R4,R5","R_1206_3216Metric","C17903"
"4.7R","R6","R_0805_2012Metric","C17675"
"100k","R8","R_0402_1005Metric","C25741"
"MAX232","U1,U2","SOIC-16_3.9x9.9mm_P1.27mm","C26860"
" 11.0592 MHz","Y1","Crystal_SMD_5032-2Pin_5.0x3.2mm","C112574"
